

=======================================================
TABLA RESUMEN DE RESULTADOS
=======================================================

Query ID   | Precision  | Recall     | AP         | Relevantes | Recuperados  | Coincidencias
14203      | 0.1000      | 1.0000      | 0.8333      | 2          | 20           | 2           
14500      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
14566      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
14604      | 0.0500      | 1.0000      | 0.2500      | 1          | 20           | 1           
14605      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
14666      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
14695      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
14808      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
14828      | 0.0500      | 1.0000      | 0.1429      | 1          | 20           | 1           
14832      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
15000      | 0.0500      | 0.5000      | 0.0556      | 2          | 20           | 1           
15159      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
15177      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
15207      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
15402      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
15537      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
15959      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
15981      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
16208      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
16215      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
16380      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
16636      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
16751      | 0.0500      | 1.0000      | 0.1111      | 1          | 20           | 1           
17359      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
17701      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
17913      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
17946      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
18292      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
18442      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
18504      | 0.2000      | 1.0000      | 0.6111      | 4          | 20           | 4           
18737      | 0.0500      | 1.0000      | 0.1111      | 1          | 20           | 1           
18895      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
18908      | 0.0500      | 0.5000      | 0.1250      | 2          | 20           | 1           
19184      | 0.0500      | 1.0000      | 0.0833      | 1          | 20           | 1           
19234      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
19342      | 0.1500      | 1.0000      | 0.7667      | 3          | 20           | 3           
19374      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
19427      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
19546      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
19894      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
19926      | 0.0000      | 0.0000      | 0.0000      | 3          | 20           | 0           
19975      | 0.0500      | 1.0000      | 0.0667      | 1          | 20           | 1           
19991      | 0.0000      | 0.0000      | 0.0000      | 3          | 20           | 0           
20397      | 0.0500      | 1.0000      | 0.0909      | 1          | 20           | 1           
20498      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
20519      | 0.0500      | 1.0000      | 0.1111      | 1          | 20           | 1           
20523      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
20746      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
20821      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
20826      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
20831      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
21121      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
21216      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
21293      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
21311      | 0.0500      | 0.2000      | 0.0222      | 5          | 20           | 1           
21469      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
21806      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
22133      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
22154      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
22230      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
22308      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
22396      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
22661      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
22782      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
22947      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
23068      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
23183      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
23224      | 0.0500      | 1.0000      | 0.1250      | 1          | 20           | 1           
23248      | 0.0500      | 1.0000      | 0.2000      | 1          | 20           | 1           
23309      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
23364      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
23549      | 0.1000      | 1.0000      | 0.6111      | 2          | 20           | 2           
23618      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
23669      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
23866      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
23966      | 0.0500      | 0.0625      | 0.0312      | 16         | 20           | 1           
24080      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
24103      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
24148      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
24252      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
24376      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
24493      | 0.1000      | 1.0000      | 0.3026      | 2          | 20           | 2           
24543      | 0.0500      | 1.0000      | 0.2500      | 1          | 20           | 1           
24575      | 0.1500      | 0.6000      | 0.1235      | 5          | 20           | 3           
24610      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
24880      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
24996      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
25015      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
25173      | 0.0500      | 1.0000      | 0.1667      | 1          | 20           | 1           
25337      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
25403      | 0.0000      | 0.0000      | 0.0000      | 3          | 20           | 0           
25471      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
25670      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
25929      | 0.1000      | 0.6667      | 0.4074      | 3          | 20           | 2           
26321      | 0.0500      | 1.0000      | 0.1000      | 1          | 20           | 1           
26513      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
26531      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
26961      | 0.0500      | 1.0000      | 0.0588      | 1          | 20           | 1           
26973      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
27015      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
27073      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
27358      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
27557      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
27617      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
27642      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
28023      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
